galaxy name: ds Wy; hubble type: Sc; redshift: 0; total mass: 1.5e+12; stellar mass fraction: 6.67e-13

galaxy name: gdfg 49; hubble type: E0; redshift: 0; total mass: 0; stellar mass fraction: 0

galaxy name: vsfdg; hubble type: SBa; redshift: 0; total mass: 0; stellar mass fraction: 0

star name: gdfv; spectral type: G2V

star name: fvsdvds; spectral type: M1-2

star name: cs A; spectral type: A0mA1 Va

star name: bfdhdfgh B; spectral type: DA2

star name: dsfddsg Majoris; spectral type: O7.5Iabf + O9.7Ib

star name: fvdcadsa; spectral type: (O9.5II + B1V +B0IV) + B3V

planet name: vdgsgdf

